date,timestamp,symbol,address,aave_usdc_apy,borrow APR,supplied,borrowed,liquidityIndex,variableBorrowIndex,price,aave_utilization_rate,aave_utilizacao_aceleracao,usdc_depeg_risk
2025-08-14 00:00:00+00:00,1755129600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.535722720122095,5.4889519006415615,4626403486.183307,4247930697.086277,1.1400216236356706,1.1862224936524188,0.99979999,0.9181928705035491,,0.00020001000000002822
2025-08-15 00:00:00+00:00,1755216000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.3723270462478565,5.858653723437616,5122904317.772229,4248076972.432424,1.1401659680685468,1.186413007028995,0.99985801,0.8292321521007371,-0.08896071840281206,0.00014199000000003625
2025-08-16 00:00:00+00:00,1755302400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.341846817427567,5.838197178243254,5211571645.372516,4306570665.780624,1.1403008406048851,1.1866022105219411,0.99987341,0.8263477812119374,-0.00288437088879967,0.0001265900000000375
2025-08-17 00:00:00+00:00,1755388800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.453330394759552,5.9126744627956604,5216784209.860399,4365930721.035026,1.1404404296009147,1.1867947810224115,0.99993424,0.8369007697851197,0.01055298857318232,6.57600000000258e-05
2025-08-18 00:00:00+00:00,1755475200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.4843424820918605,5.933226076841301,5381402596.003498,4519234535.89302,1.1405804695954989,1.186987563253374,0.99989,0.8397874820310288,0.0028867122459090844,0.0001100000000000545
2025-08-19 00:00:00+00:00,1755561600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.725283195763896,6.0905348271723145,5268562741.073069,4541847918.93964,1.140725941278404,1.187184225008064,0.99990359,0.8620658312620918,0.022278349231062977,9.641000000004674e-05
2025-08-20 00:00:00+00:00,1755648000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.552576054563047,5.978195522420096,5480688920.151997,4637627756.172075,1.1408698996614743,1.1873797496627887,0.9998,0.8461760599328924,-0.015889771329199442,0.00019999999999997797
2025-08-21 00:00:00+00:00,1755734400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.608218378134519,6.014617808644378,5670752181.411565,4827751817.720234,1.141012971120116,1.1875747839828332,0.99986256,0.8513424080751328,0.0051663481422404844,0.0001374400000000442
2025-08-22 00:00:00+00:00,1755820800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.65881223616864,6.047545071372264,5759757466.852942,4930166683.568302,1.1411555103824844,1.1877694232127476,0.99989811,0.8559677576601298,0.004625349584996941,0.00010189000000004889
2025-08-23 00:00:00+00:00,1755907200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.734368105408873,6.096386898327073,5832249570.868743,5032611950.152533,1.1413050865904255,1.187968911567788,0.9999903,0.8628937923523906,0.00692603469226083,9.700000000001374e-06
2025-08-24 00:00:00+00:00,1755993600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.632112355630712,6.03019078288648,5973231353.251692,5098368722.60965,1.1414536832497983,1.1881677503184023,0.99989434,0.8535361215892321,-0.009357670763158521,0.00010566000000000741
2025-08-25 00:00:00+00:00,1756080000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.759837026336197,6.112762910085133,5978712461.728394,5172778663.751965,1.1416004664637371,1.188365176784386,0.99982,0.8651994383179551,0.011663316728723006,0.00017999999999995797
2025-08-26 00:00:00+00:00,1756166400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.477031664883389,5.928387638771079,6103226207.900756,5121307647.107474,1.141745519430455,1.1885617420060397,0.99986676,0.8391148341311409,-0.026084604186814242,0.00013324000000003444
2025-08-27 00:00:00+00:00,1756252800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.373711939797665,5.859581486504882,6018666885.013528,4991806971.600873,1.1418847553759417,1.1887542126547173,0.99981907,0.8293874818077182,-0.0097273523234227,0.00018092999999996806
2025-08-28 00:00:00+00:00,1756339200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.256858111679582,5.7807754168469465,6095558165.798819,4987649946.314589,1.1420186665554417,1.1889428039917505,0.99986998,0.8182433520689668,-0.01114412973875134,0.00013001999999995295
2025-08-29 00:00:00+00:00,1756425600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.124541665795016,5.690223928706444,6092144203.927858,4906564799.785411,1.1421499256061984,1.189130001734684,0.9999,0.8053920976824457,-0.012851254386521127,9.999999999998899e-05
2025-08-30 00:00:00+00:00,1756512000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.001420511195746,5.604651421381961,6141404666.308801,4871915224.385047,1.1422767812965513,1.1893137529642406,0.9998802,0.7932900515596929,-0.012102046122752785,0.00011980000000000324
2025-08-31 00:00:00+00:00,1756598400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.032432151520013,5.626327969705726,6105181720.089028,4861972522.43572,1.1424032805843647,1.1894973475891912,0.9999,0.7963681910462153,0.0030781394865223577,9.999999999998899e-05
2025-09-01 00:00:00+00:00,1756684800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.00858672625225,5.609667911240387,6137598299.645742,4873193119.260551,1.1425291777346385,1.189680472630538,0.99982739,0.7939902354870355,-0.002377955559179745,0.00017261000000001747
2025-09-02 00:00:00+00:00,1756771200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.081727478244642,5.660613627925988,6142504621.165692,4921442504.727669,1.1426549813471594,1.1898635348184676,0.99986357,0.8012110382089876,0.007220802721952135,0.0001364299999999652
2025-09-03 00:00:00+00:00,1756857600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.067595682904516,5.650806016635568,6167450493.655822,4932928600.491686,1.1427817860095015,1.190047366831437,0.99985962,0.7998327032484439,-0.0013783349605437367,0.00014038000000005102
2025-09-04 00:00:00+00:00,1756944000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.192130655878109,5.736657411507342,6122545097.947044,4971475591.006079,1.1429115542125,1.1902333488235064,0.99984,0.8119949320868324,0.012162228838388467,0.000160000000000049
2025-09-05 00:00:00+00:00,1757030400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.388931568129186,5.869767708855907,5939009798.38571,4934158615.326592,1.1430461608216151,1.1904226614246585,0.99982402,0.8308049292438872,0.01880999715705478,0.0001759799999999645
2025-09-06 00:00:00+00:00,1757116800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.310415652561307,5.817027080304634,6010895070.173152,4949076086.225128,1.1431829217375944,1.1906136554071172,0.99983264,0.8233509366655045,-0.00745399257838264,0.00016735999999994977
2025-09-07 00:00:00+00:00,1757203200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.313334946368009,5.818996581417576,6005827709.724638,4946642953.259439,1.1433175757311107,1.1908032340776993,0.99986539,0.8236405025821559,0.00028956591665141307,0.00013461000000003498
2025-09-08 00:00:00+00:00,1757289600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.30784869068242,5.81529472874919,6004244490.504512,4942064161.03743,1.1434525435124716,1.1909930264684827,0.99985724,0.823095090290397,-0.0005454122917589732,0.00014276000000001954
2025-09-09 00:00:00+00:00,1757376000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.407059437153746,5.881877345409019,5979252686.744044,4977909190.860795,1.1435889852029804,1.1911837210372955,0.99992206,0.8325303263895805,0.009435236099183508,7.794000000005408e-05
2025-09-10 00:00:00+00:00,1757462400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.680885255173708,6.0618544952143525,5776567974.229471,4956395519.927218,1.143731567991225,1.1913789089893945,0.99976288,0.8580173456001521,0.025487019210571615,0.00023711999999997957
2025-09-11 00:00:00+00:00,1757548800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.819476012773441,6.1509390213733495,5852142249.638162,5095102691.114707,1.1438804268184144,1.191578224835126,0.99985,0.8706389000420722,0.012621554441920146,0.00014999999999998348
2025-09-12 00:00:00+00:00,1757635200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.722383124595537,6.088665553307678,5744045503.011582,4950152696.501337,1.1440364725527026,1.1917823435272614,0.99979722,0.8617885589356822,-0.008850341106390047,0.000202779999999958
2025-09-13 00:00:00+00:00,1757721600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.775263146026824,6.12266030097001,5852516802.663838,5071864784.299758,1.1441853386907794,1.19198156660123,0.99986,0.8666125968218052,0.004824037886123067,0.000140000000000029
2025-09-14 00:00:00+00:00,1757808000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.381606667947115,5.864867493846527,5869641940.542534,4872597949.877119,1.1443266297601797,1.1921759481293317,0.99979,0.8301354663938397,-0.03647713042796552,0.00021000000000004349
2025-09-15 00:00:00+00:00,1757894400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.385045574583151,5.867168564832598,5862778846.987562,4868671053.754805,1.144464418717123,1.1923677835820568,0.99983672,0.8304374394501416,0.000301973056301863,0.00016327999999998788
