date,Y_Target_Spread
2023-02-19,-2.6787820306388763
2023-02-20,-2.5015295788132432
2023-02-21,-2.304683559388686
2023-02-22,-2.499751673929404
2023-02-23,-2.414319532848744
2023-02-24,-2.5895426353367217
2023-02-25,-2.713057762737235
2023-02-26,-2.54809819984944
2023-02-27,-2.5439603495331653
2023-02-28,-2.2768026564174595
2023-03-01,-2.290635871711108
2023-03-02,-2.4307885002724268
2023-03-03,-2.507694247309628
2023-03-04,-2.623142864951796
2023-03-05,-2.6147099471601027
2023-03-06,-2.771791807668813
2023-03-07,-2.711471622363946
2023-03-08,-2.663101459632496
2023-03-09,-2.889439160295699
2023-03-10,-2.577326875075639
2023-03-11,-4.099187911795703
2023-03-12,-4.228312174229936
2023-03-13,-3.761894234593842
2023-03-14,-3.4141505880354712
2023-03-15,-3.0211685160138817
2023-03-16,-3.2494954166361816
2023-03-17,-3.109269798967284
2023-03-18,-3.190881053222764
2023-03-19,-3.14280057761134
2023-03-20,-3.1269074034125444
2023-03-21,-2.868563238915002
2023-03-22,-2.759744215729418
2023-03-23,-3.1446106649298344
2023-03-24,-3.371373159391464
2023-03-25,-3.148336678206316
2023-03-26,-3.0652486206025227
2023-03-27,-3.111754082440924
2023-03-28,-3.27102061179873
2023-03-29,-3.600539331069391
2023-03-30,-3.4717908665288366
2023-03-31,-3.5670268990398144
2023-04-01,-3.34209930292581
2023-04-02,-3.363240157166978
2023-04-03,-3.173465250369744
2023-04-04,-3.1703927734945982
2023-04-05,-2.878106145826202
2023-04-06,-2.830814793528054
2023-04-07,-3.171177482040672
2023-04-08,-2.984426677351032
2023-04-09,-2.9926041958765137
2023-04-10,-3.1029049080166207
2023-04-11,-3.074180571967763
2023-04-12,-2.9249735052400467
2023-04-13,-2.7763755103070547
2023-04-14,-2.636498704445456
2023-04-15,-2.908011062047672
2023-04-16,-2.832238375962716
2023-04-17,-3.2065420354267804
2023-04-18,-2.982792761664407
2023-04-19,-2.418306459469429
2023-04-20,-2.304818225351158
2023-04-21,-2.399685482315421
2023-04-22,-1.809272603524772
2023-04-23,-1.991628239242472
2023-04-24,-1.8828765591286225
2023-04-25,-1.914484855287895
2023-04-26,-1.874433550377164
2023-04-27,-2.147196754735128
2023-04-28,-2.334458360769711
2023-04-29,-2.424469727609908
2023-04-30,-1.8212947281448728
2023-05-01,-1.8418855261092528
2023-05-02,-2.0165179711077306
2023-05-03,-1.98304048070798
2023-05-04,-2.328724588214753
2023-05-05,-2.376166680332638
2023-05-06,-2.603722947466681
2023-05-07,-2.7488029209865013
2023-05-08,-2.1180924154511125
2023-05-09,-2.274186872392815
2023-05-10,-2.500562708502138
2023-05-11,-2.587568891909082
2023-05-12,-2.5399054052386254
2023-05-13,-2.4962530353348047
2023-05-14,-2.525720275661387
2023-05-15,-2.4897870090789445
2023-05-16,-2.4723235231093947
2023-05-17,-2.53942690039428
2023-05-18,-2.554902999039184
2023-05-19,-2.685216815518977
2023-05-20,-2.698644675014743
2023-05-21,-2.7965728451218936
2023-05-22,-3.1076310030216105
2023-05-23,-2.972688578205444
2023-05-24,-2.9399044607097657
2023-05-25,-2.9688335940917088
2023-05-26,-2.896482547300823
2023-05-27,-2.844806352212591
2023-05-28,-2.5743498169639505
2023-05-29,-2.4414691629785032
2023-05-30,-2.31229526716312
2023-05-31,-2.406539442820771
2023-06-01,-2.4752664709312544
2023-06-02,-2.4848675503803297
2023-06-03,-2.5298503186142995
2023-06-04,-2.4168437014562563
2023-06-05,-2.3235953889281817
2023-06-06,-2.589538230391152
2023-06-07,-2.644651539482214
2023-06-08,-2.66862315141836
2023-06-09,-3.050688612641305
2023-06-10,-3.12613757449956
