,aave_apy,ondo_proxy_apy,spread_Aave_Ondo,aave_utilization_rate,aave_utilizacao_aceleracao,usdc_depeg_risk
2025-08-14,4.535722720122095,4.34524,0.19048272012209466,0.9181928705035493,,0.00020001
2025-08-15,4.3723270462478565,4.3457,0.02662704624785661,0.8292321521007371,-0.088960718402812,0.00014199
2025-08-16,4.341846817427567,4.3457,-0.003853182572433056,0.8263477812119374,-0.0028843708887996,0.00012659
2025-08-17,4.453330394759552,4.3457,0.1076303947595525,0.8369007697851197,0.0105529885731823,6.57600000000258e-05
2025-08-18,4.4843424820918605,4.34782,0.1365224820918609,0.8397874820310288,0.002886712245909,0.00011
2025-08-19,4.725283195763896,4.34861,0.376673195763896,0.8620658312620918,0.0222783492310629,9.641000000004674e-05
2025-08-20,4.552576054563047,4.3494,0.20317605456304655,0.8461760599328924,-0.0158897713291994,0.0001999999999999
2025-08-21,4.608218378134519,4.34996,0.2582583781345189,0.8513424080751328,0.0051663481422404,0.00013744
2025-08-22,4.65881223616864,4.35065,0.30816223616864047,0.8559677576601298,0.0046253495849969,0.00010189
2025-08-23,4.734368105408873,4.35065,0.38371810540887274,0.8628937923523906,0.0069260346922608,9.700000000001374e-06
2025-08-24,4.632112355630712,4.35065,0.28146235563071187,0.8535361215892321,-0.0093576707631585,0.00010566
2025-08-25,4.759837026336197,4.354019999999999,0.405817026336198,0.8651994383179551,0.011663316728723,0.0001799999999999
2025-08-26,4.477031664883389,4.35469,0.12234166488338971,0.8391148341311409,-0.0260846041868142,0.00013324
2025-08-27,4.373711939797665,4.35525,0.01846193979766486,0.8293874818077182,-0.0097273523234227,0.0001809299999999
2025-08-28,4.256858111679582,4.35559,-0.09873188832041802,0.8182433520689668,-0.0111441297387513,0.0001300199999999
2025-08-29,4.124541665795016,4.3554900000000005,-0.23094833420498428,0.8053920976824457,-0.0128512543865211,9.9999999999989e-05
2025-08-30,4.001420511195746,4.3554900000000005,-0.3540694888042548,0.7932900515596929,-0.0121020461227527,0.0001198
2025-08-31,4.032432151520013,4.3554900000000005,-0.3230578484799871,0.7963681910462153,0.0030781394865223,9.9999999999989e-05
2025-09-01,4.00858672625225,,,0.7939902354870355,-0.0023779555591797,0.00017261
2025-09-02,4.081727478244642,4.35535,-0.2736225217553576,0.8012110382089876,0.0072208027219521,0.0001364299999999
2025-09-03,4.067595682904516,4.35658,-0.2889843170954842,0.7998327032484439,-0.0013783349605437,0.00014038
2025-09-04,4.192130655878109,4.35771,-0.16557934412189113,0.8119949320868324,0.0121622288383884,0.00016
2025-09-05,4.388931568129186,4.35906,0.029871568129185455,0.8308049292438872,0.0188099971570547,0.0001759799999999
2025-09-06,4.310415652561307,4.35906,-0.04864434743869328,0.8233509366655045,-0.0074539925783826,0.0001673599999999
2025-09-07,4.313334946368009,4.35906,-0.04572505363199131,0.8236405025821559,0.0002895659166514,0.00013461
2025-09-08,4.30784869068242,4.36343,-0.05558130931758054,0.823095090290397,-0.0005454122917589,0.00014276
2025-09-09,4.407059437153746,4.3647800000000005,0.042279437153745825,0.8325303263895805,0.0094352360991835,7.794000000005408e-05
2025-09-10,4.680885255173708,4.36613,0.31475525517370784,0.8580173456001521,0.0254870192105716,0.0002371199999999
2025-09-11,4.819476012773441,4.36736,0.45211601277344116,0.8706389000420722,0.0126215544419201,0.0001499999999999
2025-09-12,4.722383124595537,4.36883,0.3535531245955372,0.8617885589356822,-0.00885034110639,0.0002027799999999
2025-09-13,4.775263146026824,4.36883,0.40643314602682423,0.8666125968218052,0.004824037886123,0.00014
2025-09-14,4.381606667947115,4.36883,0.012776667947115072,0.8301354663938397,-0.0364771304279655,0.00021
2025-09-15,4.385045574583151,4.37309,0.01195557458315033,0.8304374394501416,0.0003019730563018,0.0001632799999999
2025-09-16,4.581262403085104,4.37534,0.20592240308510412,0.8488254984645185,0.0183880590143769,0.0002158899999999
2025-09-17,4.574191321440226,4.37658,0.19761132144022664,0.8481815439117627,-0.0006439545527557,0.0001965
2025-09-18,5.148752511756848,4.3777,0.7710525117568476,0.8998898802350517,0.0517083363232889,0.00023077
2025-09-19,5.141600347679566,4.37603,0.7655703476795663,0.8992272224140059,-0.0006626578210457,0.0001818599999999
2025-09-20,5.32831012638386,4.37603,0.9522801263838598,0.9154235387591492,0.0161963163451432,0.0002433899999999
2025-09-21,5.141542847621996,4.37603,0.7655128476219959,0.8992506463898882,-0.016172892369261,0.00014292
2025-09-22,4.9172460330719945,4.37096,0.5462860330719943,0.8793896554542628,-0.0198609909356253,0.0003510399999999
2025-09-23,5.069298264473078,4.36917,0.7001282644730775,0.8928967611756538,0.0135071057213909,0.00026
2025-09-24,4.560886263146604,4.36647,0.19441626314660443,0.8469503214486962,-0.0459464397269575,0.0002504399999999
2025-09-25,4.595708269521827,4.36344,0.23226826952182744,0.8501899046684195,0.0032395832197232,0.0002256899999999
2025-09-26,4.100369151673123,4.36109,-0.26072084832687725,0.8030287679341981,-0.0471611367342214,0.0002944499999999
2025-09-27,3.873943643110106,4.36109,-0.4871463568898937,0.7805519969727569,-0.0224767709614411,0.00032125
2025-09-28,3.908856593357316,4.36109,-0.4522334066426841,0.7840707191791375,0.0035187222063806,0.0003103899999999
2025-09-29,3.877311073649383,4.35266,-0.475348926350617,0.7808808319124853,-0.0031898872666522,0.0002588799999999
2025-09-30,3.786335641053164,4.34918,-0.5628443589468355,0.7716747477602666,-0.0092060841522186,0.0002688299999999
2025-10-01,3.9713454038560414,4.34738,-0.37603459614395884,0.7903119698751062,0.0186372221148396,0.00040028
