Average_Borrow_APY_stable,Average_Borrow_APY_stable_pct,Average_Borrow_APY_variable,Average_Borrow_APY_variable_pct,Average_Supply_APY,Average_Supply_APY_pct,Borrow_Supply_ratio,Borrow_Supply_ratio_pct,cum_borrow,cum_return,day,symbol
0.0,0.0,0.04946231680670676,4.946231680670691,0.036853556329933986,3.685355632993399,1.3421314448975286,134.21314448975286,0.09019922972872976,0.06769716451880796,2025-07-09 00:00:00.000 UTC,USDC
0.0,0.0,0.05161924449718886,5.161924449718886,0.04011935565271164,4.011935565271165,1.2866419127970206,128.66419127970207,0.09006371653199906,0.06759619587132869,2025-07-08 00:00:00.000 UTC,USDC
0.0,0.0,0.05149116935566127,5.149116935566138,0.039915243142456786,3.991524314245674,1.2900126693927483,129.00126693927484,0.08992229394433553,0.06748627982844455,2025-07-07 00:00:00.000 UTC,USDC
0.0,0.0,0.051251532998378604,5.125153299837857,0.03954461110785234,3.9544611107852323,1.2960434193826635,129.60434193826634,0.0897812222474707,0.06737692299791727,2025-07-06 00:00:00.000 UTC,USDC
0.0,0.0,0.051267498861065415,5.126749886106547,0.03956928025605087,3.956928025605078,1.295638902939754,129.5638902939754,0.08964080708857104,0.06726858159762178,2025-07-05 00:00:00.000 UTC,USDC
0.0,0.0,0.05126530037435607,5.126530037435601,0.039565624660845636,3.9565624660845704,1.2957030456058614,129.57030456058612,0.08950034818758182,0.0671601726106189,2025-07-04 00:00:00.000 UTC,USDC
0.0,0.0,0.05122668143231912,5.122668143231902,0.03950631320650455,3.950631320650467,1.2966707666329356,129.66707666329356,0.08935989530984385,0.06705177363894536,2025-07-03 00:00:00.000 UTC,USDC
0.0,0.0,0.05116201668923931,5.116201668923922,0.03940666781282369,3.9406667812823715,1.2983086246279927,129.83086246279927,0.08921954823742655,0.066943537164407,2025-07-02 00:00:00.000 UTC,USDC
0.0,0.0,0.05025171029965926,5.025171029965921,0.03802141271056267,3.8021412710562674,1.3216686787048002,132.16686787048002,0.08907937832868891,0.06683557369094721,2025-07-01 00:00:00.000 UTC,USDC
0.0,0.0,0.049112258393340665,4.911225839334065,0.036314670691135885,3.6314670691135933,1.3524081991834933,135.24081991834933,0.0889417024100597,0.06673140543694567,2025-06-30 00:00:00.000 UTC,USDC
0.0,0.0,0.05034198033150875,5.034198033150879,0.03815379605369138,3.815379605369144,1.3194487977203035,131.94487977203036,0.08880714827747521,0.0666319131884768,2025-06-29 00:00:00.000 UTC,USDC
0.0,0.0,0.05066249516886657,5.066249516886653,0.038640710773451464,3.864071077345143,1.3111170616373549,131.11170616373548,0.08866922504369025,0.0665273822403845,2025-06-28 00:00:00.000 UTC,USDC
0.0,0.0,0.05014940980782748,5.014940980782742,0.037865476747001095,3.7865476747001034,1.3244098349243485,132.44098349243484,0.08853042368706322,0.06642151727936134,2025-06-27 00:00:00.000 UTC,USDC
0.0,0.0,0.049516663556645746,4.951666355664575,0.03691332286494875,3.691332286494875,1.341430673629888,134.1430673629888,0.08839302804375411,0.06631777624717777,2025-06-26 00:00:00.000 UTC,USDC
0.0,0.0,0.049797661533449826,4.979766153344982,0.0373331755111995,3.733317551119947,1.3338715727118131,133.3871572711813,0.0882573659518181,0.06621664385576695,2025-06-25 00:00:00.000 UTC,USDC
0.0,0.0,0.049986006458464925,4.998600645846492,0.03761696521906152,3.7616965219061598,1.3288155003300395,132.88155003300395,0.08812093400241139,0.06611436118313353,2025-06-24 00:00:00.000 UTC,USDC
0.0,0.0,0.04968764383722883,4.968764383722888,0.03716914957152993,3.716914957152994,1.3367979738575337,133.67979738575337,0.08798398603951149,0.06601130100445117,2025-06-23 00:00:00.000 UTC,USDC
0.0,0.0,0.04910438634712298,4.910438634712309,0.036300577721020424,3.630057772102036,1.3527163871744199,135.271638717442,0.08784785550845059,0.06590946771795383,2025-06-22 00:00:00.000 UTC,USDC
0.0,0.0,0.04924670344391074,4.92467034439107,0.0365113813904086,3.651138139040859,1.348804169234957,134.88041692349572,0.08771332294311601,0.065810014080362,2025-06-21 00:00:00.000 UTC,USDC
0.0,0.0,0.04814641829095539,4.814641829095549,0.03490681411219169,3.4906814112191697,1.3792842319041538,137.92842319041537,0.08757840046792721,0.06570998289847046,2025-06-20 00:00:00.000 UTC,USDC
0.0,0.0,0.04714014703791864,4.714014703791855,0.03345440168248729,3.345440168248731,1.4090865377094925,140.90865377094926,0.08744649247260952,0.06561434779131378,2025-06-19 00:00:00.000 UTC,USDC
0.0,0.0,0.046717382382694864,4.671738238269493,0.03285893672616989,3.2858936726169885,1.42175575466773,142.17557546677298,0.08731734138483441,0.06552269189629327,2025-06-18 00:00:00.000 UTC,USDC
0.0,0.0,0.04529416402797324,4.529416402797319,0.03090021677473998,3.090021677474,1.4658202678047192,146.58202678047192,0.08718934855638867,0.06543266741211198,2025-06-17 00:00:00.000 UTC,USDC
0.0,0.0,0.05540622702147215,5.540622702147218,0.044632701177662576,4.463270117766255,1.2413818917417758,124.13818917417758,0.08706525495631204,0.065348009283962,2025-06-16 00:00:00.000 UTC,USDC
0.0,0.0,0.05844362068199813,5.844362068199806,0.04839298871528316,4.839298871528312,1.2076877711737786,120.76877711737785,0.08691345707406142,0.06522572791087251,2025-06-15 00:00:00.000 UTC,USDC
0.0,0.0,0.05893839720936941,5.893839720936944,0.048744434837213364,4.874443483721334,1.2091307942373266,120.91307942373265,0.08675333756534362,0.06509314438014571,2025-06-14 00:00:00.000 UTC,USDC
0.0,0.0,0.05999426896211838,5.999426896211836,0.04961655431425848,4.961655431425856,1.2091583099892453,120.91583099892453,0.08659186250449603,0.06495959798333142,2025-06-13 00:00:00.000 UTC,USDC
0.0,0.0,0.054019513163562245,5.401951316356238,0.04393616929155822,4.393616929155827,1.2294998411238691,122.94998411238691,0.08642749464432585,0.06482366221808689,2025-06-12 00:00:00.000 UTC,USDC
0.0,0.0,0.05192306239717254,5.192306239717247,0.04059584581453976,4.059584581453968,1.2790240320248687,127.90240320248687,0.08627949597812432,0.06470328915153467,2025-06-11 00:00:00.000 UTC,USDC
0.0,0.0,0.057767692382006366,5.776769238200652,0.04726975991554263,4.7269759915542515,1.2220855888673965,122.20855888673965,0.0861372410126526,0.06459206765615237,2025-06-10 00:00:00.000 UTC,USDC
0.0,0.0,0.055473452711132604,5.547345271113262,0.04505157759530884,4.505157759530875,1.2313320791880322,123.13320791880322,0.08597897336229095,0.06446256146460294,2025-06-09 00:00:00.000 UTC,USDC
0.0,0.0,0.053016188012448125,5.301618801244806,0.042314292760921246,4.2314292760921175,1.2529144304028275,125.29144304028274,0.08582699130006867,0.06433913248488976,2025-06-08 00:00:00.000 UTC,USDC
0.0,0.0,0.05377177696503152,5.37717769650316,0.043531118302912876,4.353111830291285,1.2352491519022932,123.52491519022932,0.08568174146989758,0.06422320291568176,2025-06-07 00:00:00.000 UTC,USDC
0.0,0.0,0.053983847018622175,5.39838470186222,0.043874031485884285,4.387403148588431,1.230428232609318,123.04282326093181,0.08553442153300708,0.06410393957786556,2025-06-06 00:00:00.000 UTC,USDC
0.0,0.0,0.05319761730143957,5.319761730143952,0.0426079338869695,4.260793388696953,1.2485378296577916,124.85378296577916,0.08538652058227113,0.06398373675187684,2025-06-05 00:00:00.000 UTC,USDC
0.0,0.0,0.05196281343019743,5.196281343019748,0.04065588726863431,4.065588726863439,1.2781128865015896,127.81128865015896,0.08524077368555485,0.06386700268643308,2025-06-04 00:00:00.000 UTC,USDC
0.0,0.0,0.05101704895168377,5.101704895168375,0.03918370538647593,3.918370538647589,1.30199654291225,130.199654291225,0.08509840981314336,0.06375561669391627,2025-06-03 00:00:00.000 UTC,USDC
0.0,0.0,0.050777793680157356,5.077779368015736,0.038816672244788256,3.88166722447883,1.3081439171276479,130.8143917127648,0.08495863707628944,0.06364826407641908,2025-06-02 00:00:00.000 UTC,USDC
0.0,0.0,0.050662712614220416,5.066271261422039,0.03864068725281601,3.864068725281596,1.3111234870836381,131.1123487083638,0.0848195198333301,0.06354191702917308,2025-06-01 00:00:00.000 UTC,USDC
0.0,0.0,0.050367524658790984,5.036752465879111,0.03819427417393284,3.8194274173932876,1.3187192517240254,131.87192517240254,0.08468071788096238,0.06343605213259003,2025-05-31 00:00:00.000 UTC,USDC
0.0,0.0,0.05092917045507777,5.092917045507765,0.03905540428246633,3.905540428246641,1.304023640025206,130.4023640025206,0.08454272466271912,0.06333141028553815,2025-05-30 00:00:00.000 UTC,USDC
0.0,0.0,0.05081715999001864,5.081715999001859,0.03887795936077234,3.8877959360772305,1.3070943235074444,130.70943235074444,0.08440319268886959,0.06322440917791496,2025-05-29 00:00:00.000 UTC,USDC
0.0,0.0,0.05067220493898898,5.067220493898912,0.038655526626438334,3.8655526626438412,1.3108657250663835,131.08657250663836,0.08426396759300653,0.06311789422076215,2025-05-28 00:00:00.000 UTC,USDC
0.0,0.0,0.050353509618617405,5.03535096186175,0.038170684414408636,3.8170684414408633,1.319167062134469,131.9167062134469,0.08412513963426957,0.06301198866836095,2025-05-27 00:00:00.000 UTC,USDC
0.0,0.0,0.05098107078089247,5.098107078089247,0.039131646960751075,3.9131646960751074,1.3028092283472335,130.28092283472336,0.08398718481339665,0.06290741145078724,2025-05-26 00:00:00.000 UTC,USDC
0.0,0.0,0.05168263362708084,5.168263362708083,0.04021849032961322,4.021849032961323,1.2850465843822703,128.50465843822704,0.08384751064687365,0.06280020145911394,2025-05-25 00:00:00.000 UTC,USDC
0.0,0.0,0.05107362854112229,5.107362854112232,0.039270188699359616,3.9270188699359623,1.3005699802495514,130.05699802495513,0.0837059143903611,0.06269001381437528,2025-05-24 00:00:00.000 UTC,USDC
0.0,0.0,0.049952801645872714,4.995280164587274,0.037572030627363355,3.757203062736328,1.3295209444839684,132.95209444839685,0.08356598664093337,0.06258242425629484,2025-05-23 00:00:00.000 UTC,USDC
0.0,0.0,0.04995343277497246,4.995343277497251,0.037574475604469054,3.757447560446908,1.3294512290952922,132.94512290952923,0.08342912965012277,0.06247948718608289,2025-05-22 00:00:00.000 UTC,USDC
0.0,0.0,0.0505193713948775,5.051937139487752,0.038423253742268404,3.8423253742268404,1.3148124241051058,131.4812424105106,0.08329227093019133,0.062376543417303525,2025-05-21 00:00:00.000 UTC,USDC
0.0,0.0,0.05103147089662818,5.103147089662828,0.0392060214569643,3.9206021456964306,1.301623296631729,130.1623296631729,0.08315386169349304,0.06227127422896854,2025-05-20 00:00:00.000 UTC,USDC
0.0,0.0,0.05074048991086037,5.074048991086029,0.038760598492921086,3.8760598492921163,1.3090739535440143,130.90739535440144,0.08301404944446118,0.0621638604715522,2025-05-19 00:00:00.000 UTC,USDC
0.0,0.0,0.050667740205888996,5.066774020588897,0.03864842667638608,3.864842667638614,1.3109910173095516,131.09910173095517,0.08287503440360951,0.06205766705102365,2025-05-18 00:00:00.000 UTC,USDC
0.0,0.0,0.050726169136726236,5.072616913672621,0.03873819266742943,3.87381926674294,1.3094614292467015,130.94614292467014,0.08273621867701803,0.0619517809505404,2025-05-17 00:00:00.000 UTC,USDC
0.0,0.0,0.050075374656332515,5.00753746563324,0.03775130401471767,3.7751304014717713,1.3264541706111714,132.64541706111714,0.08259724287116398,0.06184564891583511,2025-05-16 00:00:00.000 UTC,USDC
