avg_aave_deposit_apy,avg_aave_deposit_apy_percent,avg_aave_stable_borrow_apy,avg_aave_stable_borrow_apy_percent,avg_aave_variable_borrow_apy,avg_aave_variable_borrow_apy_percent,avg_compound_deposit_apy,avg_compound_deposit_apy_percent,avg_compound_stable_borrow_apy,avg_compound_stable_borrow_apy_percent,avg_compound_variable_borrow_apy,avg_compound_variable_borrow_apy_percent,avg_morpho_deposit_apy,avg_morpho_deposit_apy_percent,avg_morpho_stable_borrow_apy,avg_morpho_stable_borrow_apy_percent,avg_morpho_variable_borrow_apy,avg_morpho_variable_borrow_apy_percent,date,symbol
0.0405032692949864,4.05032692949864,0.0,0.0,0.056387634931115684,5.638763493111568,0.014103528291353529,1.4103528291353529,0.029474430822009217,2.947443082200922,0.036118570586764154,3.6118570586764154,0.009331827412586537,0.9331827412586537,0.07467766202786773,7.467766202786772,0.07404213042934243,7.404213042934243,2025-09-02 00:00:00.000 UTC,USDC
0.025863208667480837,2.5863208667480837,0.0,0.0,0.04328754892550704,4.3287548925507044,0.018487574347644253,1.8487574347644253,0.029902477235292938,2.990247723529294,0.034836618873064884,3.4836618873064884,0.0023632451050496217,0.23632451050496217,0.07138101738022125,7.138101738022125,0.07054804698143348,7.054804698143348,2025-04-09 00:00:00.000 UTC,USDC
0.025417444257629956,2.5417444257629955,0.0,0.0,0.0429133790106643,4.29133790106643,0.008820949873771466,0.8820949873771466,0.02699654250124076,2.699654250124076,0.03485302181228378,3.485302181228378,0.002665254186885915,0.2665254186885915,0.0728209592126041,7.28209592126041,0.07197417318937244,7.1974173189372435,2025-04-07 00:00:00.000 UTC,USDC
0.026974891172981314,2.6974891172981312,0.0,0.0,0.044209863436402756,4.420986343640275,0.011193251262842985,1.1193251262842985,0.029634296938945263,2.9634296938945264,0.037605519489858574,3.7605519489858574,0.00881990519679743,0.8819905196797431,0.11660349921311665,11.660349921311665,0.09470119095439827,9.470119095439827,2025-04-04 00:00:00.000 UTC,USDC
0.03369174378549965,3.369174378549965,0.0,0.0,0.05131451257007075,5.1314512570070745,0.010925232981425337,1.0925232981425337,0.03217981857101712,3.2179818571017123,0.041367206040135995,4.1367206040135995,0.009296737967163411,0.9296737967163411,0.16022256424886813,16.022256424886812,0.0961884987105983,9.61884987105983,2025-03-29 00:00:00.000 UTC,USDC
0.030759467504359168,3.0759467504359166,0.0,0.0,0.057560204613444056,5.756020461344406,0.019175078738928875,1.9175078738928875,0.03238567676604475,3.238567676604475,0.0380960154721226,3.80960154721226,0.009132741802326481,0.9132741802326481,0.16994811179591449,16.994811179591448,0.10160445858419082,10.16044585841908,2025-03-10 00:00:00.000 UTC,USDC
0.033183477417200645,3.3183477417200646,0.0,0.0,0.06005739555539713,6.005739555539713,0.01734240806787546,1.7342408067875459,0.03265160072777273,3.2651600727772725,0.03926906613132042,3.926906613132042,-0.0017246722883852636,-0.17246722883852636,0.18441339053541828,18.441339053541828,0.10483039318104743,10.483039318104744,2025-03-09 00:00:00.000 UTC,USDC
0.038419971055335546,3.8419971055335544,0.0,0.0,0.06634075741332869,6.634075741332869,0.0395788393010692,3.95788393010692,0.04166634151321158,4.166634151321158,0.042568673463404316,4.256867346340432,-0.001803714659012031,-0.1803714659012031,0.18615649098400147,18.615649098400148,0.10526206545244811,10.526206545244811,2025-02-28 00:00:00.000 UTC,USDC
0.04846297716516809,4.846297716516809,0.0,0.0,0.07456449607764588,7.456449607764588,0.04682731840885923,4.682731840885923,0.08324884618509489,8.324884618509488,0.09899221066929424,9.899221066929424,-0.0015036085832512453,-0.15036085832512452,0.1904890480021079,19.04890480021079,0.10785640998271444,10.785640998271443,2025-02-27 00:00:00.000 UTC,USDC
0.04783924253420782,4.783924253420782,0.0,0.0,0.08151090088657244,8.151090088657243,0.04549889556511166,4.549889556511166,0.08387854908884357,8.387854908884357,0.10046832198122724,10.046832198122724,-0.004825344705709417,-0.4825344705709417,0.1988155205844029,19.881552058440292,0.10896865903398968,10.896865903398968,2025-02-08 00:00:00.000 UTC,USDC
0.06492839460749493,6.492839460749493,0.0,0.0,0.09700414083500321,9.700414083500322,0.058938969363582006,5.8938969363582006,0.115451328219069,11.5451328219069,0.13987904220157535,13.987904220157535,-0.007034685745523989,-0.7034685745523989,0.19938213069274002,19.938213069274003,0.1015946118499111,10.15946118499111,2025-01-30 00:00:00.000 UTC,USDC
0.06420136691110363,6.420136691110363,0.0,0.0,0.09645993353662059,9.645993353662059,0.13356074904033832,13.356074904033832,0.13103220202069998,13.103220202069998,0.12993922652581777,12.993922652581777,-0.007238195194041899,-0.7238195194041899,0.199879022686419,19.9879022686419,0.10166941435072908,10.166941435072909,2025-01-29 00:00:00.000 UTC,USDC
0.08758729472063494,8.758729472063493,0.0,0.0,0.11266397984785755,11.266397984785755,0.047198495174603616,4.719849517460362,0.08813862238447451,8.81386223844745,0.10583517121280313,10.583517121280313,-0.007978477387479617,-0.7978477387479618,0.19187950170353962,19.18795017035396,0.09679572093545245,9.679572093545245,2025-01-21 00:00:00.000 UTC,USDC
0.08048115466367271,8.048115466367271,0.0,0.0,0.11022394622999004,11.022394622999004,0.0649329217429635,6.49329217429635,0.09478004176460315,9.478004176460315,0.1076815897773944,10.76815897773944,-0.02225399774616975,-2.225399774616975,0.948313342516759,94.8313342516759,0.48254892463903526,48.25489246390352,2025-01-13 00:00:00.000 UTC,USDC
