date,timestamp,symbol,address,supply APR,borrow APR,supplied,borrowed,liquidityIndex,variableBorrowIndex,price
2025-11-11T00:00:00.000Z,1762819200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.615767922080699,5.783403472635245,4645906340.177651,4120018824.218063,1.151860043515979208673003608,1.202902791892676498183676576,0.99978719
2025-11-10T00:00:00.000Z,1762732800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.96335304284371,5.997208344957638,4460670954.982978,4101930527.382466,1.151705676753521748332646906,1.20270611967758146581327102,0.99988191
2025-11-09T00:00:00.000Z,1762646400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5.993205076521945,7.174751113475931,4432954382.299882,4114792317.019836,1.151538895213392608557885035,1.202496349145160722724464099,0.99992065
2025-11-08T00:00:00.000Z,1762560000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5.799950179508448,6.947560727398075,4441339103.305388,4120022138.09326,1.151337338452542883856085726,1.202245463453858367217714103,0.99989
2025-11-07T00:00:00.000Z,1762473600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.768960293457485,5.878593327155233,4414994782.869288,3979852125.758915,1.151165559151847531604936324,1.202029474956373437191802728,0.99987
2025-11-06T00:00:00.000Z,1762387200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.711059590824362,5.842798433543619,4256661264.00155,3813713714.545849,1.151026195117938457230593364,1.201843139159334071460260865,0.99988474
2025-11-05T00:00:00.000Z,1762300800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4.6733951562333145,5.819394798799227,4393649272.66411,3920616055.665174,1.150877886969989713615387466,1.201650894638355322008318481,0.99985392
2025-11-04T00:00:00.000Z,1762214400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.836645645861196,5.272751424012044,4907921276.786719,3968060773.769331,1.15075426232572055451072943,1.201475570553042051765830299,0.99982102
2025-11-03T00:00:00.000Z,1762128000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.9416724868029385,5.3444334138663185,5169154107.169171,4236033161.472912,1.150636688403804613941727937,1.201304446944421519634211514,0.99984
2025-11-02T00:00:00.000Z,1762041600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.939577486793613,5.343012891132546,5191367760.916018,4253201621.87283,1.150511845745625989309598644,1.201128132104860048804028484,0.99991994
2025-11-01T00:00:00.000Z,1761955200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.596513172470992,5.105075851525987,5344226463.849622,4183402199.860108,1.150388702733410255628932897,1.200953128174603894605728012,0.99993161
2025-10-31T00:00:00.000Z,1761868800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.6711744324930713,5.157793004550101,5190283466.906498,4104807825.919019,1.150273394274398996886349034,1.20078368366435728812824195,0.99982
2025-10-30T00:00:00.000Z,1761782400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.6353081333654216,5.132535930743507,5270908816.338649,4148298234.642955,1.150158507620336720808001256,1.200614416606361512478874838,0.99986
2025-10-29T00:00:00.000Z,1761696000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.6650636988771628,5.153498457332736,5256675776.952435,4153946383.787472,1.150043975760739172042067039,1.200445706475228181569622892,0.99982182
2025-10-28T00:00:00.000Z,1761609600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.588375998677308,5.09929753347522,5288180877.777763,4134845875.218937,1.149930083592993925707246257,1.200277509654889023919987008,0.99986213
2025-10-27T00:00:00.000Z,1761523200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.5848180179632214,5.0967688561928615,5287413903.812373,4132150883.149037,1.149817550538092483724977323,1.200110159362230711584571408,0.99984
2025-10-26T00:00:00.000Z,1761436800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.569404293905383,5.085799727547641,5276586261.640452,4114908439.821974,1.149704698393242054619209404,1.199942678147306470157091975,0.99984356
2025-10-25T00:00:00.000Z,1761350400,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.5936511984545874,5.103044418047344,5252662761.645328,4110096623.07682,1.149591873296199144902352997,1.199775209146276152033149564,0.99992
2025-10-24T00:00:00.000Z,1761264000,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.908819617084337,5.53943213531051,5305054367.064884,4159402699.24537,1.14947146500308919319383794,1.199596777944927724761109637,0.99985984
2025-10-23T00:00:00.000Z,1761177600,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.8193912636689538,5.47569828791435,5283547154.891333,4095026831.420645,1.149350071727516526883095817,1.199415896858599483664452135,0.99983999
2025-10-22T00:00:00.000Z,1761091200,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.8484542603479643,5.496491972759266,5293883968.60613,4118569336.216969,1.149229438459656025178448388,1.199235800038971282607929645,0.99986545
2025-10-21T00:00:00.000Z,1761004800,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3.0945778166311237,4.928820803842053,5999000771.532015,4185067303.13615,1.149117057624562761762887866,1.199061916120208427199462643,0.99987
