date,deposit_apy,borrow_apy,utilization_rate,total_deposit_usd,total_borrow_usd
2022-11-17,1.725643738944,3.3583855628736,53.09673049029664,107670425.75951076,57169475.783282354
2022-11-18,1.6962336153936,3.3267131223696,52.19180365738825,107563036.009703,56139088.56211
2022-11-19,1.7069964264576,3.3383038417344,52.52296701155921,108235201.40058976,56848339.12652642
2022-11-20,1.6556498613072,3.2830075408032,50.943072728698425,113573099.75317366,57857626.80749647
2022-11-21,2.4723189020016,4.1624972774208,75.9497186404349,76853774.33415133,58370225.371342696
2022-11-22,2.3359830880608,4.0156740941472,71.87640283401578,81389138.38648006,58499584.96980097
2022-11-23,1.7683034290704,3.4043267661696,54.40933630922832,108998334.73618776,59305270.51807083
2022-11-24,2.0397330998928,3.6966356436528,62.76101850168168,113799112.34099528,71421481.95108156
2022-11-25,1.99189551708,3.6451182479904,61.28909295567239,108465378.91277556,66477446.90657329
2022-11-26,2.0049073558272,3.6591309952272,61.68945718011706,107980870.0737634,66612812.6068721
2022-11-27,2.0195182558368,3.674865813048,62.13902332519108,107269944.56533349,66656495.8743721
2022-11-28,1.9426388584176,3.5920726146144,59.80445562668777,110147820.2408378,65873304.279695645
2022-11-29,1.8311593601664,3.4720177715568,56.3433650184113,118240836.6602513,66620866.20030887
2022-11-30,1.8672313312656,3.5108645101488,57.45223109039599,118602178.96795034,68139597.93891186
2022-12-01,1.8467984000016,3.4888598120304,56.82456619902057,119080729.15169813,67667107.7670831
2022-12-02,1.8134481023856,3.4529441081184,55.79840321119629,121343290.331527,67707618.408918
2022-12-03,1.4661349063344,3.0789145147968,45.1118433790719,161338495.8294575,72782769.5487353
2022-12-04,1.4697855704592,3.0828459975408,45.2241714902852,160849175.24985784,72742706.8557051
2022-12-05,1.489732509888,3.1043273147424,45.83792344590832,160657666.198569,73642138.042083
2022-12-06,1.4765412502224,3.0901213464336,45.42503694158931,162240301.02242595,73697716.67358269
2022-12-07,1.572824240712,3.193810717896,48.38912847716417,161776887.99270558,78282426.17714828
2022-12-08,1.55819754432,3.1780588895568,47.94453985584938,161011984.7198798,77196455.18671688
2022-12-09,1.5196390353072,3.136534340904,46.75812419168392,165145364.10599756,77218874.44549094
2022-12-10,1.5219031214304,3.1389725877408,46.827788394759565,165166682.6240083,77343904.63781472
2022-12-11,1.4858791670448,3.1001775618816,45.71935903757742,169126204.92183322,77323416.85484186
2022-12-12,1.4491460531664,3.0606188255568,44.589109437493605,170254259.66488585,75914858.16397049
2022-12-13,1.4395730922288,3.0503094832512,44.29416108207297,166464170.766334,73733907.943177
2022-12-14,1.4884372538352,3.1029324270048,45.79806946545804,168264369.60458302,77061832.877122
2022-12-15,1.4902853927328,3.1049227270368,45.85511053098838,168168701.3725455,77113943.89290851
2022-12-16,1.4803841546496,3.0942598567104,45.55028171177536,168474096.31146988,76740425.48124228
2022-12-17,1.5209383090464,3.137933561688,46.79810189669437,169726544.87381417,79428801.41578625
2022-12-18,1.488089090088,3.1025574797328,45.78735672451648,173590083.11996517,79482310.5965231
2022-12-19,1.5130376075808,3.1294251110448,47.16323540989208,165873101.56639335,78231121.37344748
2022-12-20,1.5374765222352,3.1557439465776,47.306970007118224,161575354.61205754,76436404.54522097
2022-12-21,1.5454196711568,3.1642981054992,47.55137457912419,160844124.47988185,76483592.11994141
2022-12-22,1.5439130986752,3.1626756445248,47.50501851714774,160750299.6941765,76364459.63608903
2022-12-23,1.5458482422432,3.1647596411664,47.56456134185596,160605761.5001439,76391425.94729082
2022-12-24,1.5364641504096,3.1546536997536,47.27582011758291,160579490.4571461,75915271.05425161
2022-12-25,1.5434538083712,3.1621810212864,47.49088645173493,161090225.3832146,76503176.02158633
2022-12-26,1.548203375952,3.167295942888,47.63702706385956,160348262.46964988,76385145.18909568
2022-12-27,1.5534892479024,3.1729884211008,47.79966928246828,159898913.54635963,76431151.86141977
2022-12-28,1.5558687242496,3.1755509292384,47.872576053124845,160403664.4355678,76789366.24891636
2022-12-29,1.5635490174576,3.1838220178704,48.10920063570684,160165437.03504425,77054311.45224614
2022-12-30,1.551759485688,3.171125595888,47.74644574323103,159436422.652282,76125225.03662033
2022-12-31,1.534725204912,3.1527809880048,47.222314072066496,161258973.16697723,76150218.77829942
2023-01-01,1.5456086537904,3.1645016262288,47.55718943396548,160526178.68946862,76341738.89045653
2023-01-02,1.6030959593184,3.2264110295136,49.32602954621043,161555934.44781005,79689127.95938314
2023-01-03,1.6081785975168,3.2318846415792,49.48241849327255,161378535.39111,79854002.240543
2023-01-04,1.6106864159232,3.2345853688512,49.55958213585206,161318993.83241498,79949019.24910583
2023-01-05,1.6310978995536,3.2565669668496,50.18762771797288,161032155.24809998,80818218.58214454
2023-01-06,1.6284732749568,3.2537404456272,50.106870050699584,164496067.06519285,82423830.56286782
2023-01-07,1.6375906353024,3.2635591445376,50.38740426064281,164556575.331474,82915786.84973903
2023-01-08,1.6275740416848,3.2527720412928,50.0792013170191,165581132.660809,82921708.768207
2023-01-09,1.6995736436112,3.3303100775328,52.29457375669898,164812358.9863729,86187920.63028428
2023-01-10,1.8076593573792,3.4467100779456,55.62028803961222,152855807.830318,85018840.600499
2023-01-11,1.8196545669408,3.459627993024,55.98937136214337,153478162.147987,85931458.164829
2023-01-12,1.807507268712,3.4465462862688,55.61560833832072,153515866.080236,85378782.816365
2023-01-13,1.8653415900768,3.508829403768,57.39512592814694,154580775.78568655,88721830.92290127
2023-01-14,1.8611490838608,3.504314394648,57.266125702771134,156391181.83208662,89559170.7760121
2023-01-15,1.9214820592704,3.5692883686512,59.12252498260786,156302665.075178,92410082.207554
2023-01-16,1.8796512329856,3.5242397886816,57.83542264997963,157584613.73439857,91139727.38462724
2023-01-17,1.8773784082368,3.5217921283488,57.76548954781441,157413994.86270157,90930964.74921098
2023-01-18,1.8894637792224,3.5348071459248,58.13921583886229,157190453.15495747,91389296.83784644
2023-01-19,1.9328310078912,3.5815103157456,59.47172340455936,150976249.5273463,89788177.52548076
2023-01-20,1.9453828783104,3.595027714416,59.85807348723103,151749944.1175363,90834593.06670693
2023-01-21,1.9204618696704,3.5681897048688,59.09113455219255,152326957.936297,90011727.673399
2023-01-22,2.047996531584,3.7055347244208,63.60318085414841,145755985.6606983,92705443.16552056
2023-01-23,2.020279367736,3.6756854715312,62.16244219832439,146188111.07548612,90874100.0481213
2023-01-24,1.9617947425152,3.6127020277728,60.36291523204685,143756480.4448515,86775602.43149972
