date,timestamp,X_USDC_Depeg_Risk,balance_usdc_normalized,balance_dai_normalized,balance_usdt_normalized,balance_total_normalized,raw_balance_usdc,raw_balance_dai,raw_balance_usdt
2023-03-22 23:54:59,1679529299,0.47216856783178561189532696173472812761586641959144,198642863.169340,184506218.090640058122348745,37554194.439872,420703275.699852058122348745,198642863169340,184506218090640058122348745,37554194439872
2023-03-23 23:58:11,1679615891,0.43941894963559299741474616353713721200988398249908,184289815.018307,189524447.474818576941070668,45580065.337154,419394327.830279576941070668,184289815018307,189524447474818576941070668,45580065337154
2023-03-24 23:52:59,1679701979,0.43010717916383816699911478401165189156617705230296,180908404.918024,181704371.427005006605132067,57999605.130965,420612381.475994006605132067,180908404918024,181704371427005006605132067,57999605130965
2023-03-25 23:59:47,1679788787,0.43026940890286523099746359009082074838892430686297,187634147.419616,184140437.528327555727407586,64310675.907715,436085260.855658555727407586,187634147419616,184140437528327555727407586,64310675907715
2023-03-26 23:55:47,1679874947,0.42185626365284867208126761391883127406108028060755,182925732.777467,185808842.721508350717241354,64886419.466265,433620994.965240350717241354,182925732777467,185808842721508350717241354,64886419466265
2023-03-27 23:46:59,1679960819,0.37593645914768600409889058998627140289598160583752,159952244.081739,175585586.534433753282069201,89938975.874953,425476806.491125753282069201,159952244081739,175585586534433753282069201,89938975874953
2023-03-28 23:42:11,1680046931,0.39294733884197290041241606245318779960259785092336,168962425.846684,167270076.833212568266715982,93754951.477755,429987454.157651568266715982,168962425846684,167270076833212568266715982,93754951477755
2023-03-29 23:58:11,1680134291,0.34577504082541910254813779033261413222940599885250,151055786.209109,164964822.756038349380945082,120840842.481768,436861451.446915349380945082,151055786209109,164964822756038349380945082,120840842481768
2023-03-30 23:59:59,1680220799,0.33831889310954211073529488903274410861460354081055,148881655.165103,162876206.257374361711703680,128305221.654877,440063083.077354361711703680,148881655165103,162876206257374361711703680,128305221654877
2023-03-31 23:43:23,1680306203,0.40965711354238767366290381310162226664332851651204,179840437.373564,163167427.484065195478451971,95994489.619869,439002354.477498195478451971,179840437373564,163167427484065195478451971,95994489619869
2023-04-01 23:50:35,1680393035,0.41723217110997369728825699701645039545649422138502,183014072.262146,162616136.164283208164628275,93008240.222602,438638448.649031208164628275,183014072262146,162616136164283208164628275,93008240222602
2023-04-02 23:46:47,1680479207,0.40244309758060990265361300743728463339318490577857,175414686.134396,171485829.393046867353492287,88973989.934190,435874505.461632867353492287,175414686134396,171485829393046867353492287,88973989934190
2023-04-03 23:59:23,1680566363,0.38604772490053986855225205664779815447816816070145,167969274.358407,169143164.700197715786359619,97987325.877666,435099764.936270715786359619,167969274358407,169143164700197715786359619,97987325877666
2023-04-04 23:34:23,1680651263,0.38759446940289159641567955449916782863862861791922,166991466.321443,170705121.393081161758781818,93144096.309429,430840684.023953161758781818,166991466321443,170705121393081161758781818,93144096309429
2023-04-05 23:45:35,1680738335,0.38722015182735690392888786332636772488945745793732,168974557.265278,169743145.484698981264818289,97660818.532706,436378521.282682981264818289,168974557265278,169743145484698981264818289,97660818532706
2023-04-06 23:59:59,1680825599,0.40202986932789369110972995770102920113118058555430,174540672.743933,165871303.902745988117730275,93736543.302167,434148519.948845988117730275,174540672743933,165871303902745988117730275,93736543302167
2023-04-07 23:55:35,1680911735,0.40960463711361861838107449974805481481653460615061,176154744.996469,175078843.898822477307627979,78826837.758536,430060426.653827477307627979,176154744996469,175078843898822477307627979,78826837758536
2023-04-08 23:50:23,1680997823,0.37975586868768806294168398859147919203379012450325,164180608.259655,189718422.289106313541806703,78432953.752125,432331984.300886313541806703,164180608259655,189718422289106313541806703,78432953752125
2023-04-09 23:59:23,1681084763,0.40368889241341976889171330767472162276152963026031,175065743.744515,184429554.180015665511286814,74169702.610657,433665000.535187665511286814,175065743744515,184429554180015665511286814,74169702610657
2023-04-10 23:57:23,1681171043,0.40493273478146478346260108915518685981993023405445,177196917.538158,189022517.032668502926350847,71376497.587605,437595932.158431502926350847,177196917538158,189022517032668502926350847,71376497587605
2023-04-11 23:59:11,1681257551,0.42496987694794114723092459890740958725617754004652,187070983.205830,188962608.728990814328916860,64164627.640978,440198219.575798814328916860,187070983205830,188962608728990814328916860,64164627640978
2023-04-12 23:59:47,1681343987,0.42113920279367011805074693396020352329005070299643,187518361.887676,189222191.335201218131343402,68524006.912474,445264560.135351218131343402,187518361887676,189222191335201218131343402,68524006912474
2023-04-13 23:55:11,1681430111,0.42317625375632184378859733156526898930456605547802,188859762.611579,193788982.626586818670412570,63642276.375562,446291021.613727818670412570,188859762611579,193788982626586818670412570,63642276375562
